"illustrations","key","word","corrAnsw","trial_type","cues","illustration_loop.thisRepN","illustration_loop.thisTrialN","illustration_loop.thisN","illustration_loop.thisIndex","repeat_practice.thisRepN","repeat_practice.thisTrialN","repeat_practice.thisN","repeat_practice.thisIndex","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","ongoing_task_loop.thisRepN","ongoing_task_loop.thisTrialN","ongoing_task_loop.thisN","ongoing_task_loop.thisIndex","loop_cues.thisRepN","loop_cues.thisTrialN","loop_cues.thisN","loop_cues.thisIndex","loop_cues2.thisRepN","loop_cues2.thisTrialN","loop_cues2.thisN","loop_cues2.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","PM_task_loop.thisRepN","PM_task_loop.thisTrialN","PM_task_loop.thisN","PM_task_loop.thisIndex","recog_task_loop.thisRepN","recog_task_loop.thisTrialN","recog_task_loop.thisN","recog_task_loop.thisIndex","slider_mood.response","slider_mood.rt","slider_arousal.response","slider_arousal.rt","key_resp_6.keys","key_resp_6.rt","key_resp_6.corr","key_resp_6.rtFirst","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","key_resp_ongoing.keys","key_resp_ongoing.rt","key_resp_ongoing.corr","key_resp_ongoing.rtFirst","key_resp_PM.keys","key_resp_PM.corr","key_resp_PM.rt","key_resp_PM.lenient","key_resp_PM.rtFirst","key_resp_recognition.keys","key_resp_recognition.corr","key_resp_recognition.rt","key_resp_recognition.rtFirst","participant","session","expName","psychopyVersion","frameRate","X"
"","","book","l","No","",NA,NA,NA,NA,0,0,0,0,0,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['l']","[1.1170222000218928]",1,1.11702220002189,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","tower","l","No","",NA,NA,NA,NA,0,0,0,0,0,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['l']","[1.1504827999742702]",1,1.15048279997427,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","book","d","HIT","",NA,NA,NA,NA,0,0,0,0,0,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['d']","[1.133677700010594]",1,1.13367770001059,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","dress","l","No","",NA,NA,NA,NA,0,0,0,0,0,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['l']","[0.8831036000046879]",1,0.883103600004688,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","fork","l","No","",NA,NA,NA,NA,0,0,0,0,0,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['l']","[0.7502772000152618]",1,0.750277200015262,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","crime","l","No","",NA,NA,NA,NA,0,0,0,0,0,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['l']","[0.8171387999900617]",1,0.817138799990062,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","fork","d","HIT","",NA,NA,NA,NA,0,0,0,0,0,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['d']","[1.2502440999960527]",1,1.25024409999605,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","memory","l","No","",NA,NA,NA,NA,0,0,0,0,0,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['l']","[0.7669593999744393]",1,0.766959399974439,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","dress","l","No","",NA,NA,NA,NA,0,0,0,0,0,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['d']","[0.9672713999752887]",0,0.967271399975289,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","memory","d","HIT","",NA,NA,NA,NA,0,0,0,0,0,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['l']","[0.6171893000137061]",0,0.617189300013706,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","blond","l","No","",NA,NA,NA,NA,0,0,0,0,0,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['l']","[1.0341230999911204]",1,1.03412309999112,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","crime","l","No","",NA,NA,NA,NA,0,0,0,0,0,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['l']","[0.7339058000361547]",1,0.733905800036155,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","blond","d","HIT","",NA,NA,NA,NA,0,0,0,0,0,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","['l']","[0.8337469000252895]",0,0.83374690002529,"",NA,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","","","","",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"n",9.87633739999728,"",NA,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"space",3.06708879995858,"","",NA,NA,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","elbow","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.8820223999791779]",1,0.882022399979178,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","ambition","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.7841169000021182]",1,0.784116900002118,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","elbow","d","HIT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[2.400362499989569]",1,2.40036249998957,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","salad","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.8672372000291944]",1,0.867237200029194,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","door","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.6506258000154048]",1,0.650625800015405,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","salad","d","HIT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[1.000598699960392]",1,1.00059869996039,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","tool","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.6506677999859676]",1,0.650667799985968,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","health","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.7170763000031002]",1,0.7170763000031,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","ambition","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[2.117027300002519]",0,2.11702730000252,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","health","d","HIT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[0.8673245999962091]",1,0.867324599996209,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","vest","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.7507345000049099]",1,0.75073450000491,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","ugly","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.6008285999996588]",1,0.600828599999659,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","vest","d","HIT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[0.8173576999688521]",1,0.817357699968852,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","face","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[1.0679331999854185]",1,1.06793319998542,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","rock","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.733887100010179]",1,0.733887100010179,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","face","d","HIT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[0.7171032999758609]",1,0.717103299975861,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","bowl","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.7005701999878511]",1,0.700570199987851,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","key","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.6003732000244781]",1,0.600373200024478,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","bowl","d","HIT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[0.6339220000081696]",1,0.63392200000817,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","moment","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[1.0171149999951012]",1,1.0171149999951,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","useful","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.8838008000166155]",1,0.883800800016616,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","moment","d","HIT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[0.5504968999885023]",1,0.550496899988502,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","water","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.7504661999992095]",1,0.75046619999921,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","coast","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.5840471999836154]",1,0.584047199983615,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","key","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[1.0668626999831758]",0,1.06686269998318,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","coast","d","HIT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l', 'd']","[0.4340680000022985, 0.9339618000085466]",0,0.434068000002299,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","plain","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.7503981000045314]",1,0.750398100004531,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","rock","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27,27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.8837304000044242]",1,0.883730400004424,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","plain","d","HIT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[0.950716299994383]",1,0.950716299994383,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","trunk","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.7674316000193357]",1,0.767431600019336,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","door","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.86731930001406]",1,0.86731930001406,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","trunk","d","HIT","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['d']","[0.5335087000275962]",1,0.533508700027596,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","nervous","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.617425300006289]",1,0.617425300006289,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
"","","useful","l","No","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,"",NA,"",NA,"['l']","[0.733758999966085]",1,0.733758999966085,"",NA,"","",NA,"",NA,"",NA,149,3,"PM","3.0.6",60.157649145212,NA
